model,r2,mae,rmse,reg_horizon,reg_model,wf_xgb_r2,wf_safe_r2,acc,bal_acc,mcc,precision,recall,f1,auc
xgb_reg,-0.0011100975875024677,0.04614212543594115,0.05576976207902719,5,xgb_reg,-0.03621797903239238,-0.3431949205144949,0.5044563279857398,0.46363076765241473,-0.1407023395561503,0.527831094049904,0.8957654723127035,0.6642512077294686,0.45215317140732003
lstm,,,,5,,,,,,,,,,
ensemble,-0.0011100975875024677,0.04614212543594115,0.05576976207902719,5,,,,,,,,,,
